algo,wall_s,cpu_s,rss_MB,peak_py_MB,hostname,arch,python
_have_numba,1.476121,1.239464,91.21,18.31,Seras-MBP,x86_64,3.13.7
load_curve,0.001132,0.000871,92.42,0.03,Seras-MBP,x86_64,3.13.7
ac_cost,0.000162,0.000166,92.44,0.0,Seras-MBP,x86_64,3.13.7
_have_numba,4e-06,7e-06,92.44,0.0,Seras-MBP,x86_64,3.13.7
_linear_and_coeffs,2.870203,2.631117,148.18,25.69,Seras-MBP,x86_64,3.13.7
build_qubo_fast,82.910671,81.690565,539.68,0.0,Seras-MBP,x86_64,3.13.7
run_openjij,202.220468,198.26679,1956.29,2253.78,Seras-MBP,x86_64,3.13.7
build_qubo_fast,744.18754,723.877598,2702.28,2725.03,Seras-MBP,x86_64,3.13.7
build_qubo_fast,3.705831,3.534878,152.84,28.03,Seras-MBP,x86_64,3.13.7
run_openjij,2.370256,3.237393,155.8,11.45,Seras-MBP,x86_64,3.13.7
decode_best,0.001215,0.006549,155.84,0.0,Seras-MBP,x86_64,3.13.7
run_openjij,1.393981,9.257143,158.93,3.58,Seras-MBP,x86_64,3.13.7
decode_best,0.001119,0.010581,158.93,0.0,Seras-MBP,x86_64,3.13.7
build_qubo_fast,17.091913,17.057871,322.18,103.91,Seras-MBP,x86_64,3.13.7
run_openjij,38.430785,39.52476,432.54,220.55,Seras-MBP,x86_64,3.13.7
decode_best,0.003494,0.003499,424.8,0.0,Seras-MBP,x86_64,3.13.7
run_openjij,8.907245,31.30745,419.4,69.13,Seras-MBP,x86_64,3.13.7
decode_best,0.004434,0.052105,419.4,0.0,Seras-MBP,x86_64,3.13.7
build_qubo_fast,17.430237,17.29018,322.87,103.91,Seras-MBP,x86_64,3.13.7
run_openjij,35.842792,37.927887,426.34,220.55,Seras-MBP,x86_64,3.13.7
decode_best,0.003387,0.003392,422.38,0.0,Seras-MBP,x86_64,3.13.7
run_openjij,9.395271,37.426182,413.79,69.13,Seras-MBP,x86_64,3.13.7
decode_best,0.004411,0.048914,413.79,0.0,Seras-MBP,x86_64,3.13.7
build_qubo_fast,17.510747,17.278746,323.57,103.91,Seras-MBP,x86_64,3.13.7
run_openjij,36.207606,38.254771,425.83,220.55,Seras-MBP,x86_64,3.13.7
decode_best,0.004806,0.004813,421.87,0.0,Seras-MBP,x86_64,3.13.7
run_openjij,9.357568,37.278945,410.73,69.13,Seras-MBP,x86_64,3.13.7
decode_best,0.004306,0.05171,410.73,0.0,Seras-MBP,x86_64,3.13.7
build_qubo_fast,27.554606,27.019691,327.55,105.49,Seras-MacBook-Pro.local,x86_64,3.13.7
run_openjij,55.891593,57.335399,425.57,220.54,Seras-MacBook-Pro.local,x86_64,3.13.7
decode_best,0.004521,0.004529,421.61,0.0,Seras-MacBook-Pro.local,x86_64,3.13.7
run_openjij,13.888354,54.14055,420.96,69.13,Seras-MacBook-Pro.local,x86_64,3.13.7
decode_best,0.006666,0.077796,420.96,0.0,Seras-MacBook-Pro.local,x86_64,3.13.7
