t,exp_vol,blackout
0,136474,false
1,134187,false
2,110372,false
3,125487,false
4,108943,false
5,146130,false
6,142470,false
7,139866,false
8,123428,false
9,98166,false
10,126455,false
11,86163,false
12,130540,false
13,113368,false
14,93445,false
15,109282,false
16,100947,false
17,77528,false
18,54508,false
19,82782,false
20,58362,false
21,57655,false
22,68360,false
23,70819,false
24,65069,false
25,59418,false
26,66301,false
27,76152,false
28,73130,false
29,92210,false
30,76494,false
31,79677,false
32,96899,false
33,83091,false
34,118975,false
35,114082,false
36,140924,false
37,115596,false
38,126543,false
39,111106,false
40,122311,false
41,106139,false
42,138319,false
43,144311,false
44,132980,false
45,142115,false
46,128567,false
47,112921,false
