t,exp_vol,blackout
0,22769,false
1,27686,false
2,26511,false
3,33749,false
4,32147,false
5,27103,false
6,29535,false
7,26253,false
8,27915,false
9,24301,false
10,17798,false
11,23997,false
12,25787,false
13,21019,false
14,18453,false
15,19167,false
16,19580,false
17,14757,false
18,11137,false
19,12934,false
20,10901,false
21,14285,false
22,13867,false
23,13892,false
24,10592,false
25,13615,false
26,13922,false
27,12297,false
28,14819,false
29,16478,false
30,14852,false
31,17667,false
32,19864,false
33,19179,false
34,16043,false
35,20561,false
36,22409,false
37,27374,false
38,26892,false
39,24657,false
40,29975,false
41,26029,false
42,25692,false
43,25185,false
44,21522,false
45,28363,false
46,26001,false
47,16521,false
