decile,n,score_threshold,conversion_rate,lift_vs_overall
1,140,0.8107904349098234,0.7214285714285714,1.4428571428571428
2,140,0.6612390442359927,0.6714285714285714,1.3428571428571427
3,140,0.4960387919772003,0.55,1.1
4,140,0.3859786184005522,0.5214285714285715,1.042857142857143
5,140,0.29110355209118033,0.5357142857142857,1.0714285714285714
6,140,0.18863492584546862,0.4857142857142857,0.9714285714285714
7,140,0.11583682137104924,0.4142857142857143,0.8285714285714286
8,140,0.07682247739807983,0.36428571428571427,0.7285714285714285
9,140,0.05221743915805245,0.44285714285714284,0.8857142857142857
10,148,0.013127751014352306,0.30405405405405406,0.6081081081081081
