decile,n,score_threshold,conversion_rate,lift_vs_overall
1,140,0.8194328944532873,0.7071428571428572,1.4142857142857144
2,140,0.6532990169441689,0.7428571428571429,1.4857142857142858
3,140,0.44915918419625656,0.5928571428571429,1.1857142857142857
4,140,0.2928344529354889,0.6071428571428571,1.2142857142857142
5,140,0.2309364515215786,0.42857142857142855,0.8571428571428571
6,140,0.17848849281149243,0.4785714285714286,0.9571428571428572
7,140,0.12076229548456019,0.35714285714285715,0.7142857142857143
8,140,0.08521071045310144,0.40714285714285714,0.8142857142857143
9,140,0.04236328889088603,0.3,0.6
10,148,0.006879998034555871,0.38513513513513514,0.7702702702702703
